slug,maker,models,group,setting,depth,matched,hz,level_dbfs,thd_pct,valid_orders,h2,h3,h4,h5,h6,h7,h8
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-12.0,0.019533656056369846,239,-100.82537292380961,-76.33070185242039,-119.04120500832376,-80.1495580969968,-117.78637382018331,-82.89714777312946,-128.45525694855291
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,100.0,-3.0,0.0047494935014464655,239,-95.43200148452149,-92.52391022073907,-111.68575314907517,-90.93498069543286,-114.40314208408047,-92.26687699724066,-128.0591725551599
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,1000.0,-12.0,0.020753863375636842,24,-103.86545149541155,-75.50746771566727,-117.95629552199303,-80.06738540326049,-130.32810449383302,-82.96937766807491,-121.27473016110974
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,1000.0,-3.0,0.007439512200128923,24,-101.7297474222729,-84.48494350610163,-118.04380219184765,-89.0895355434161,-130.23230121006685,-91.73030371110403,-121.25647522349196
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,10000.0,-12.0,0.005463129695500705,2,-85.25116978296596,,,,,,
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,10000.0,-3.0,0.010190034704120625,2,-79.83648673835543,,,,,,
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,125.0,-12.0,0.02006257679527826,191,-102.74834158192633,-75.98649712153636,-113.60968168447242,-80.07230100165104,-130.10595134037004,-82.87308988741728,-121.78456121915458
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,125.0,-3.0,0.005335532146290057,191,-97.17240772970322,-89.86211193985453,-109.62210769282157,-90.11336839977743,-125.31594976274772,-91.96210146763354,-120.72549364579598
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,1250.0,-12.0,0.02074976246276073,19,-104.1333727063727,-75.50786194843671,-120.36692404510576,-80.06597786495392,-119.19808996390589,-82.98248281153226,-124.89518783816722
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,1250.0,-3.0,0.007448790119228586,19,-101.78196679673312,-84.46633449836696,-120.40310123694324,-89.07619201234225,-119.20768718186653,-91.75946999083027,-124.85687374991355
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,160.0,-12.0,0.02037699112416606,150,-102.76154662181901,-75.79250469304499,-117.65773923986684,-79.98124467616951,-126.94530831890992,-82.94488919399481,-133.71414163371293
