slug,maker,models,group,setting,depth,matched,test,level_dbfs,imd_pct,imd_db
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,ccif_19_20k,-30.0,0.0975,-60.22
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,ccif_19_20k,-18.0,0.0429,-67.35
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,ccif_19_20k,-12.0,0.02459,-72.19
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,ccif_19_20k,-6.0,0.02082,-73.63
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,ccif_19_20k,-3.0,0.02426,-72.3
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,smpte_60_7k,-30.0,0.32934,-49.65
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,smpte_60_7k,-18.0,0.11239,-58.99
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,smpte_60_7k,-12.0,0.05268,-65.57
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,smpte_60_7k,-6.0,0.01937,-74.26
api_vision,UAD,API 1608 console channel,console-api,line_gain_0,full,,smpte_60_7k,-3.0,0.01379,-77.21
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,full,,ccif_19_20k,-30.0,0.04291,-67.35
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,full,,ccif_19_20k,-18.0,0.02081,-73.63
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,full,,ccif_19_20k,-12.0,0.03096,-70.18
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,full,,ccif_19_20k,-6.0,6.3393,-23.96
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,full,,ccif_19_20k,-3.0,15.45976,-16.22
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,full,,smpte_60_7k,-30.0,0.11226,-59.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,full,,smpte_60_7k,-18.0,0.01941,-74.24
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,full,,smpte_60_7k,-12.0,0.02169,-73.28
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,full,,smpte_60_7k,-6.0,40.80682,-7.79
api_vision,UAD,API 1608 console channel,console-api,line_gain_12,full,,smpte_60_7k,-3.0,95.62239,-0.39
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,full,,ccif_19_20k,-30.0,0.07504,-62.49
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,full,,ccif_19_20k,-18.0,0.02458,-72.19
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,full,,ccif_19_20k,-12.0,0.02081,-73.63
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,full,,ccif_19_20k,-6.0,0.03096,-70.18
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,full,,ccif_19_20k,-3.0,0.04128,-67.69
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,full,,smpte_60_7k,-30.0,0.21411,-53.39
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,full,,smpte_60_7k,-18.0,0.05266,-65.57
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,full,,smpte_60_7k,-12.0,0.01937,-74.26
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,full,,smpte_60_7k,-6.0,0.02172,-73.26
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,full,,smpte_60_7k,-3.0,0.03684,-68.67
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,full,,ccif_19_20k,-30.0,0.00346,-89.21
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,full,,ccif_19_20k,-18.0,0.04529,-66.88
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,full,,ccif_19_20k,-12.0,0.17984,-54.9
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,full,,ccif_19_20k,-6.0,0.70395,-43.05
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,full,,ccif_19_20k,-3.0,1.37387,-37.24
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,full,,smpte_60_7k,-30.0,0.01219,-78.28
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,full,,smpte_60_7k,-18.0,0.16523,-55.64
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,full,,smpte_60_7k,-12.0,0.65311,-43.7
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,full,,smpte_60_7k,-6.0,2.57633,-31.78
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,full,,smpte_60_7k,-3.0,5.0812,-25.88
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,full,,ccif_19_20k,-30.0,0.00197,-94.1
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,full,,ccif_19_20k,-18.0,0.00125,-98.07
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,full,,ccif_19_20k,-12.0,0.00472,-86.52
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,full,,ccif_19_20k,-6.0,0.01881,-74.51
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,full,,ccif_19_20k,-3.0,0.03744,-68.53
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,full,,smpte_60_7k,-30.0,0.01266,-77.95
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,full,,smpte_60_7k,-18.0,0.00455,-86.84
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,full,,smpte_60_7k,-12.0,0.01761,-75.09
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,full,,smpte_60_7k,-6.0,0.06837,-63.3
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-60,full,,smpte_60_7k,-3.0,0.13571,-57.35
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-30.0,0.00464,-86.68
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-18.0,0.02173,-73.26
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-12.0,0.06166,-64.2
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-6.0,0.26392,-51.57
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,ccif_19_20k,-3.0,0.48867,-46.22
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-30.0,0.01404,-77.06
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-18.0,0.06616,-63.59
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-12.0,0.24121,-52.35
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-6.0,0.9378,-40.56
frontdaw_british,Sonimus,British console style,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,smpte_60_7k,-3.0,1.8091,-34.85
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,full,,ccif_19_20k,-30.0,0.0,-192.88
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,full,,ccif_19_20k,-18.0,0.0,-190.76
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,full,,ccif_19_20k,-12.0,0.0,-189.22
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,full,,ccif_19_20k,-6.0,0.0,-196.74
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,full,,ccif_19_20k,-3.0,0.0,-191.68
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,full,,smpte_60_7k,-30.0,0.0,-172.81
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,full,,smpte_60_7k,-18.0,0.0,-173.84
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,full,,smpte_60_7k,-12.0,0.0,-176.57
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,full,,smpte_60_7k,-6.0,0.0,-173.74
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_0,full,,smpte_60_7k,-3.0,0.0,-173.12
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,full,,ccif_19_20k,-30.0,0.03233,-69.81
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,full,,ccif_19_20k,-18.0,0.1577,-56.04
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,full,,ccif_19_20k,-12.0,0.53702,-45.4
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,full,,ccif_19_20k,-6.0,1.74195,-35.18
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,full,,ccif_19_20k,-3.0,3.26022,-29.74
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,full,,smpte_60_7k,-30.0,0.10651,-59.45
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,full,,smpte_60_7k,-18.0,0.59258,-44.55
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,full,,smpte_60_7k,-12.0,1.71151,-35.33
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,full,,smpte_60_7k,-6.0,5.87094,-24.63
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_100,full,,smpte_60_7k,-3.0,11.75349,-18.6
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,full,,ccif_19_20k,-30.0,0.01898,-74.43
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,full,,ccif_19_20k,-18.0,0.10586,-59.51
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,full,,ccif_19_20k,-12.0,0.32775,-49.69
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,full,,ccif_19_20k,-6.0,1.12317,-38.99
