slug,maker,models,family,group,setting,depth,matched,level_dbfs,hz,magnitude_db,phase_deg,group_delay_ms,ref_1k_db,sweep_check_worst_db
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,102.2,-0.183,-25.96,10.8479,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,1021.8,-0.001,36.68,10.6681,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,10217.9,-0.051,-4.88,10.6681,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,112.5,-0.191,-66.0,10.8474,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,1124.7,-0.003,1.38,10.6708,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,11246.8,-0.064,4.04,10.6716,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,123.8,-0.179,-110.24,10.806,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,1237.9,-0.005,-73.33,10.6747,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,12379.3,-0.08,-26.56,10.6716,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,136.3,-0.146,-158.56,10.7527,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,1362.6,0.0,166.97,10.6685,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,13625.8,-0.101,-134.71,10.6656,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,1499.8,-0.0,0.91,10.67,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,14997.9,-0.129,-4.09,10.677,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,150.0,-0.11,147.68,10.7095,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,165.1,-0.092,89.86,10.6913,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,1650.8,0.002,139.94,10.6671,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,16508.1,-0.17,-45.5,10.6717,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,181.7,-0.101,26.4,10.7086,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,1817.0,-0.001,-138.67,10.6709,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,18170.4,-0.236,48.62,10.6724,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,20.0,-0.692,-45.37,13.0127,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,200.0,-0.118,-44.27,10.7309,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,2000.0,-0.001,-120.56,10.6715,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,20000.0,-0.379,-141.98,10.6765,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,22.0,-0.405,-56.08,17.5077,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,220.1,-0.108,-122.08,10.7219,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,2201.4,0.0,-174.18,10.6691,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,24.2,-0.484,-67.15,12.5472,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,242.3,-0.071,151.85,10.6839,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,2423.1,0.001,53.46,10.6675,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,26.7,-0.365,-80.54,13.2848,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,266.7,-0.057,58.96,10.6767,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,2667.0,-0.0,-163.34,10.6695,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,29.4,-0.275,-92.15,14.0793,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,293.6,-0.074,-45.34,10.7051,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,2935.6,-0.002,-114.34,10.6705,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,32.3,-0.292,-105.45,12.0015,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,323.1,-0.058,-158.22,10.6913,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,3231.2,-0.001,-169.43,10.6689,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,35.6,-0.267,-120.19,11.2569,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,355.7,-0.034,76.52,10.6689,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,3556.6,-0.002,20.17,10.6687,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,39.1,-0.225,-135.97,11.1352,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,391.5,-0.05,-61.49,10.6947,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,3914.7,-0.003,84.57,10.6676,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,43.1,-0.188,-152.83,11.0387,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,430.9,-0.027,146.35,10.6714,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,4308.9,-0.005,11.14,10.6692,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,47.4,-0.158,-169.4,11.0003,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,474.3,-0.031,-19.66,10.6829,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,4742.7,-0.006,144.38,10.668,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,52.2,-0.113,169.83,11.3804,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,522.0,-0.019,157.24,10.6713,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,5220.3,-0.009,110.26,10.6681,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,57.5,-0.102,149.23,11.0966,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,574.6,-0.024,-45.35,10.6827,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,5746.0,-0.013,-108.12,10.6688,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,63.2,-0.095,126.06,10.9656,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,632.5,-0.008,92.27,10.6652,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,6324.6,-0.016,-170.45,10.6703,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,69.6,-0.098,101.51,10.8796,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,696.1,-0.014,-152.62,10.6763,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,6961.4,-0.021,-96.42,10.6686,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,76.6,-0.11,74.24,10.8764,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,766.2,-0.015,-61.31,10.6792,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,7662.4,-0.025,91.46,10.6669,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,84.3,-0.133,44.17,10.8491,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,843.4,-0.007,1.83,10.6722,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,8433.9,-0.033,7.87,10.6679,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,92.8,-0.159,11.25,10.8629,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,928.3,-0.003,35.43,10.6682,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-12.0,9283.2,-0.041,-13.93,10.6686,83.296,-0.078
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,102.2,-0.185,-25.95,10.8485,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,1021.8,-0.001,36.68,10.6679,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,10217.9,-0.051,-4.88,10.6688,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,112.5,-0.194,-66.0,10.8486,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,1124.7,-0.003,1.38,10.6709,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,11246.8,-0.064,4.04,10.6703,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,123.8,-0.181,-110.24,10.8073,92.299,-0.082
