slug,maker,models,family,group,setting,depth,matched,source,level_dbfs,hz,gain_db,magnitude_db
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-12.0,100.0,8.941,-0.153
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-12.0,1000.0,9.094,0.0
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-12.0,10000.0,9.05,-0.044
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-12.0,16000.0,8.943,-0.151
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-12.0,250.0,9.02,-0.074
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-12.0,2500.0,9.098,0.004
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-12.0,40.0,8.947,-0.147
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-12.0,5000.0,9.09,-0.004
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-12.0,630.0,9.083,-0.011
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-3.0,100.0,8.942,-0.155
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-3.0,1000.0,9.097,0.0
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-3.0,10000.0,9.053,-0.044
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-3.0,16000.0,8.946,-0.151
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-3.0,250.0,9.023,-0.074
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-3.0,2500.0,9.101,0.004
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-3.0,40.0,8.939,-0.158
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-3.0,5000.0,9.093,-0.004
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-3.0,630.0,9.086,-0.011
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-40.0,100.0,8.872,-0.152
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-40.0,1000.0,9.024,0.0
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-40.0,10000.0,8.98,-0.044
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-40.0,16000.0,8.875,-0.149
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-40.0,250.0,8.951,-0.073
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-40.0,2500.0,9.028,0.004
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,check,-40.0,40.0,8.883,-0.141
