slug,maker,models,family,group,setting,depth,matched,gain_1k_db,thd_1k_pct,thd_100_pct,headroom_1pct_dbfs,headroom_3pct_dbfs,h2_80,h3_80,h2_minus_h3_80,h2_5k,tilt_db,imd_smpte_pct,imd_ccif_pct,noise_a_dbfs,noise_under_tone_dbfs,crest_change_12_db,crest_change_3_db,slew_index_3,lf_shelf_db,hf_shelf_db,wow_pct,flutter_pct,speed_error_pct
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,9.094,0.020753863375636842,0.019533656056369846,,,-100.01199281906943,-76.91920812461619,-23.09,-93.55754452711366,-6.45,0.05268,0.02459,-200.0,-106.25,0.075,0.074,0.85598,-0.113,-0.08,,,
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_12,full,,21.08,0.005318990343599804,0.004976368975748655,-7.64,-6.95,-90.49006607651079,-82.97212869256833,-7.52,-87.54403558086173,-2.95,0.02169,0.03096,-200.0,-104.99,0.069,-1.55,0.38948,-0.099,-0.065,,,
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_3,curve,,12.086,0.01476944041103331,,1.3,2.02,-98.19833060558709,-81.57321128006234,-16.63,-92.44032953474003,-5.76,,,,,,,,-0.113,-0.072,,,
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_6,full,,15.083,0.010493374453951725,0.007972516579699152,-1.67,-0.96,-96.16989749553187,-88.33527919345053,-7.83,-91.06619722898802,-5.1,0.01937,0.02081,-200.0,-105.01,0.071,0.005,0.73087,-0.097,-0.068,,,
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_9,curve,,18.081,0.007457154927300637,,-4.65,-3.95,-93.5667804166681,-89.78892384713431,-3.78,-89.42932395446653,-4.14,,,,,,,,-0.093,-0.066,,,
bx_console_n,Brainworx,Neve VXS console channel,colour,console-neve,thd_-30,full,,2.984,0.23961651625179112,0.2396522441371722,-5.71,-0.69,-121.38278371973799,-52.41078016125223,-68.97,-129.16353218444885,7.78,0.65311,0.17984,-87.03,-87.22,-0.017,-0.142,0.92957,0.159,-0.026,,,
bx_console_n,Brainworx,Neve VXS console channel,colour,console-neve,thd_-35,curve,,1.663,0.12272795632382565,,-2.79,2.23,-117.50938471950435,-58.21724727618765,-59.29,-123.81469744018358,6.31,,,,,,,,0.159,-0.026,,,
bx_console_n,Brainworx,Neve VXS console channel,colour,console-neve,thd_-40,curve,,0.908,0.06614049666772286,,-0.1,,-131.2870459096477,-63.5730156806557,-67.71,-121.4156321422156,-9.87,,,,,,,,0.159,-0.025,,,
bx_console_n,Brainworx,Neve VXS console channel,colour,console-neve,thd_-50,curve,,0.221,0.02013069930293715,,,,-122.82754858045145,-73.97959145704114,-48.85,-124.44172935950985,1.61,,,,,,,,0.159,-0.024,,,
bx_console_n,Brainworx,Neve VXS console channel,colour,console-neve,thd_-60,full,,0.0,0.006333406798493729,0.006240291072375399,,,-121.09242265195597,-84.16103598993281,-36.93,-120.56385434729627,-0.53,0.01761,0.00472,-90.12,-90.16,0.0,-0.003,0.99691,0.159,-0.026,,,
frontdaw_british,Sonimus,British console style,colour,style-frontdaw,matched_thd_0.1_pct,full,thd_0.1_pct,0.4,0.09720462742928815,0.09580184483555068,-1.07,1.1,-66.99265375591165,-61.32921389758549,-5.66,-67.1365010016269,0.14,0.24121,0.06166,-200.0,-167.21,-0.038,-0.088,0.97098,-0.684,0.004,,,
frontdaw_british,Sonimus,British console style,colour,style-frontdaw,mojo_0,full,,-0.002,7.75584526243743e-08,4.699972558721218e-08,2.6,2.77,-200.0,-197.99291803985642,-2.01,-200.0,0.0,0.0,0.0,-200.0,-178.82,-0.032,-0.032,0.99695,-0.672,0.003,,,
