slug,maker,models,group,element,gr_target_db,gr_measured_db,reached,control,value,refined
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,9.93,True,input,-35.0,True
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,14.54,True,input,-30.0,True
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,2.99,True,input,-46.796875,True
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,6.94,True,input,-40.0,True
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,10.37,True,input,-30.0,True
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,14.99,True,input,-26.25,True
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,3.48,True,input,-45.0,True
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,6.0,True,input,-36.640625,True
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,10.25,True,input,-30.0,True
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,15.0,True,input,-27.109375,True
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,2.79,True,input,-40.0,True
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,6.02,True,input,-36.484375,True
api2500,Waves,API 2500,vca-api,vca,10.0,9.99,True,thresh,-2.34375,True
api2500,Waves,API 2500,vca-api,vca,15.0,15.0,True,thresh,-9.0625,True
api2500,Waves,API 2500,vca-api,vca,3.0,2.98,True,thresh,7.03125,True
api2500,Waves,API 2500,vca-api,vca,6.0,6.0,True,thresh,3.203125,True
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,10.01,True,225_thresh,-15.9375,True
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,15.0,11.39,False,225_thresh,-18.0,True
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,3.0,3.16,True,225_thresh,-3.0,True
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,6.0,6.01,True,225_thresh,-9.0,True
aw_blockparty,Airwindows,blocky compressor,aw-comp,digital,10.0,11.19,True,pound,"('raw', 0.65)",False
aw_blockparty,Airwindows,blocky compressor,aw-comp,digital,15.0,11.19,False,pound,"('raw', 0.65)",False
aw_blockparty,Airwindows,blocky compressor,aw-comp,digital,3.0,1.13,False,pound,"('raw', 0.4)",False
aw_blockparty,Airwindows,blocky compressor,aw-comp,digital,6.0,5.12,True,pound,"('raw', 0.5)",False
aw_buttercomp2,Airwindows,bidirectional compressor,aw-comp,digital,10.0,2.87,False,compress,"('raw', 0.95)",False
aw_buttercomp2,Airwindows,bidirectional compressor,aw-comp,digital,15.0,2.87,False,compress,"('raw', 0.95)",False
aw_buttercomp2,Airwindows,bidirectional compressor,aw-comp,digital,3.0,2.87,True,compress,"('raw', 0.95)",False
aw_buttercomp2,Airwindows,bidirectional compressor,aw-comp,digital,6.0,2.87,False,compress,"('raw', 0.95)",False
aw_compresaturator,Airwindows,compression by saturation,aw-comp,digital,10.0,5.5,False,drive,"('raw', 0.95)",False
aw_compresaturator,Airwindows,compression by saturation,aw-comp,digital,15.0,5.5,False,drive,"('raw', 0.95)",False
aw_compresaturator,Airwindows,compression by saturation,aw-comp,digital,3.0,3.67,True,drive,"('raw', 0.8)",False
aw_compresaturator,Airwindows,compression by saturation,aw-comp,digital,6.0,5.5,True,drive,"('raw', 0.95)",False
aw_logical4,Airwindows,mastering compressor,aw-comp,digital,10.0,8.03,False,threshold,"('raw', 0.3)",False
aw_logical4,Airwindows,mastering compressor,aw-comp,digital,15.0,14.82,True,threshold,"('raw', 0.2)",False
aw_logical4,Airwindows,mastering compressor,aw-comp,digital,3.0,3.92,True,threshold,"('raw', 0.4)",False
aw_logical4,Airwindows,mastering compressor,aw-comp,digital,6.0,8.03,False,threshold,"('raw', 0.3)",False
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,9.17,True,compres,"('raw', 0.65)",False
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,12.17,False,compres,"('raw', 0.8)",False
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,4.52,False,compres,"('raw', 0.4)",False
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,6.8,True,compres,"('raw', 0.95)",False
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,11.12,True,pressre,"('raw', 0.8)",False
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,15.0,18.85,False,pressre,"('raw', 0.95)",False
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,3.0,2.99,True,pressre,"('raw', 0.4)",False
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,6.0,7.43,True,pressre,"('raw', 0.65)",False
aw_purestsquish,Airwindows,minimal compressor,aw-comp,digital,10.0,11.1,True,squish,"('raw', 0.65)",False
aw_purestsquish,Airwindows,minimal compressor,aw-comp,digital,15.0,17.35,False,squish,"('raw', 0.8)",False
aw_purestsquish,Airwindows,minimal compressor,aw-comp,digital,3.0,4.48,True,squish,"('raw', 0.5)",False
aw_purestsquish,Airwindows,minimal compressor,aw-comp,digital,6.0,4.48,False,squish,"('raw', 0.5)",False
bx_opto,Brainworx,opto pedal,opto-other,opto,10.0,10.15,True,peak_reduction,58.75,True
bx_opto,Brainworx,opto pedal,opto-other,opto,15.0,15.29,True,peak_reduction,70.0,True
bx_opto,Brainworx,opto pedal,opto-other,opto,3.0,2.85,True,peak_reduction,43.125,True
bx_opto,Brainworx,opto pedal,opto-other,opto,6.0,5.9,True,peak_reduction,50.0,True
c1_comp,Waves,clean digital,digital,digital,10.0,9.99,True,threshold,-25.59375,True
c1_comp,Waves,clean digital,digital,digital,15.0,15.01,True,threshold,-31.5,True
c1_comp,Waves,clean digital,digital,digital,3.0,2.99,True,threshold,-15.09375,True
c1_comp,Waves,clean digital,digital,digital,6.0,5.98,True,threshold,-20.34375,True
cla3a,Waves,UREI LA-3A,opto-la2a,opto,10.0,10.02,True,peak_reduction,5.828125,True
cla3a,Waves,UREI LA-3A,opto-la2a,opto,15.0,15.01,True,peak_reduction,7.25,True
cla3a,Waves,UREI LA-3A,opto-la2a,opto,3.0,3.05,True,peak_reduction,4.546875,True
cla3a,Waves,UREI LA-3A,opto-la2a,opto,6.0,5.85,True,peak_reduction,5.0,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,10.0,9.74,True,thresh,-25.0,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,15.0,15.0,True,thresh,-32.109375,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,3.0,2.99,True,thresh,-16.015625,True
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,6.0,6.0,True,thresh,-20.0,True
distressor,UAD,Empirical Labs Distressor,fet-other,fet,10.0,10.1,True,input,5.75,True
distressor,UAD,Empirical Labs Distressor,fet-other,fet,15.0,14.92,True,input,7.0,True
distressor,UAD,Empirical Labs Distressor,fet-other,fet,3.0,3.04,True,input,3.0,True
distressor,UAD,Empirical Labs Distressor,fet-other,fet,6.0,6.41,True,input,5.0,True
fairchild660,UAD,Fairchild 660 mono,varimu-fairchild,vari-mu,10.0,10.11,True,thresh,6.6875,True
fairchild660,UAD,Fairchild 660 mono,varimu-fairchild,vari-mu,15.0,14.8,True,thresh,7.625,True
fairchild660,UAD,Fairchild 660 mono,varimu-fairchild,vari-mu,3.0,3.11,True,thresh,3.3125,True
fairchild660,UAD,Fairchild 660 mono,varimu-fairchild,vari-mu,6.0,6.39,True,thresh,5.0,True
fairchild670,UAD,Fairchild 670 stereo,varimu-fairchild,vari-mu,10.0,10.44,True,l_thresh,8.0,True
fairchild670,UAD,Fairchild 670 stereo,varimu-fairchild,vari-mu,15.0,12.01,False,l_thresh,10.0,True
fairchild670,UAD,Fairchild 670 stereo,varimu-fairchild,vari-mu,3.0,2.9,True,l_thresh,2.625,True
fairchild670,UAD,Fairchild 670 stereo,varimu-fairchild,vari-mu,6.0,5.79,True,l_thresh,4.0,True
h_comp,Waves,"hybrid, analogue-modelled",digital,hybrid,10.0,10.03,True,threshold,-26.0625,True
h_comp,Waves,"hybrid, analogue-modelled",digital,hybrid,15.0,15.2,True,threshold,-33.0,True
h_comp,Waves,"hybrid, analogue-modelled",digital,hybrid,3.0,2.96,True,threshold,-16.59375,True
h_comp,Waves,"hybrid, analogue-modelled",digital,hybrid,6.0,6.22,True,threshold,-21.0,True
kh_comp,Kilohearts,clean digital,digital,digital,10.0,9.08,True,threshold,"('raw', 0.2)",False
kh_comp,Kilohearts,clean digital,digital,digital,15.0,9.08,False,threshold,"('raw', 0.2)",False
kh_comp,Kilohearts,clean digital,digital,digital,3.0,2.18,True,threshold,"('raw', 0.5)",False
kh_comp,Kilohearts,clean digital,digital,digital,6.0,6.78,True,threshold,"('raw', 0.3)",False
kotelnikov,Tokyo Dawn,"clean digital, states its times",digital,digital,10.0,10.11,True,threshold_db,-25.0,True
kotelnikov,Tokyo Dawn,"clean digital, states its times",digital,digital,15.0,15.03,True,threshold_db,-30.859375,True
kotelnikov,Tokyo Dawn,"clean digital, states its times",digital,digital,3.0,3.02,True,threshold_db,-16.25,True
kotelnikov,Tokyo Dawn,"clean digital, states its times",digital,digital,6.0,6.0,True,threshold_db,-20.0,True
la2a,UAD,Teletronix LA-2A,opto-la2a,opto,10.0,10.97,True,peak_reduct,60,False
la2a,UAD,Teletronix LA-2A,opto-la2a,opto,15.0,16.2,True,peak_reduct,70,False
