slug,maker,models,group,element,gr_target_db,marking,phase,time_ms,gr_db
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,0.1,0.16672224546947145
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,0.2,0.11320533180743286
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,0.5,0.529053602364165
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,1.0,1.3568381391908417
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,10.0,7.007009531233448
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,100.0,8.212572471790876
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,1000.0,9.764766212625023
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,2.0,2.996647999104143
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,20.0,7.578322781137536
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,200.0,8.625641236311107
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,2000.0,9.494298361379837
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,5.0,5.7019178069604175
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,50.0,7.949102900474348
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,500.0,9.359811753946905
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,attack,5000.0,0.011459965987847376
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,0.1,9.405619256833337
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,0.2,9.00035427966656
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,0.5,9.12018510644489
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,1.0,9.098317396463406
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,10.0,9.685158847435053
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,100.0,7.808954319040945
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,1000.0,1.0959688473677835
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,2.0,9.894433839188519
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,20.0,9.495118429347922
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,200.0,6.2222768727091005
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,2000.0,0.11696834079794094
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,5.0,9.73349568699095
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,50.0,8.803676060664142
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,500.0,3.2291646986634315
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,release,5000.0,-7.087766949709362e-05
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,0.1,0.21976593350529594
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,0.2,0.31669395979585246
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,0.5,1.2905539366762948
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,1.0,2.6293517676225644
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,10.0,7.485462566176379
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,100.0,8.475725991026724
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,1000.0,10.029312583036928
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,2.0,4.389057840044526
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,20.0,7.901530303586297
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,200.0,8.889529906144741
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,2000.0,9.758423364876172
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,5.0,6.569545941567766
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,50.0,8.219150509933911
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,500.0,9.625415442256248
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,attack,5000.0,0.01182858755190086
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,release,0.1,9.66975475210113
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,release,0.2,9.264291062664867
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,release,0.5,9.384114175188632
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,release,1.0,9.362006810765894
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,release,10.0,9.943996719524758
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,release,100.0,8.023459859203278
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,release,1000.0,1.1307299398408843
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,release,2.0,10.15767922040078
