element,gr_target_db,group,hold,maker,models,slug,family,gr_at_end_of_hold_db,gr_measured_db,reached,release_0.1_ms,release_0.2_ms,release_0.5_ms,release_1000_ms,release_100_ms,release_10_ms,release_1_ms,release_2000_ms,release_200_ms,release_20_ms,release_2_ms,release_5000_ms,release_500_ms,release_50_ms,release_5_ms
fet,10.0,fet-1176,hold_0.03s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,7.875387385176561,9.93,True,7.3754622171380735,6.8336683510734995,6.870325719007209,0.5661324043449651,5.700525348657544,7.6570647328724295,6.7303185714801055,0.05769140550635754,4.178844213266965,7.4659339301715555,8.065362646417874,6.517761706348324e-05,1.8466207130687042,6.747736717933243,7.7084887650799825
fet,10.0,fet-1176,hold_0.3s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,9.022796058223392,9.93,True,8.579803674997915,8.167592699458053,8.28666526135387,0.8502066264874992,6.883431103115262,8.844337469200841,8.260912331793254,0.08881358104864656,5.315136330717745,8.637963493545866,9.072056733059895,-0.0003327025379649129,2.600172164685094,7.908774554182299,8.901235522672096
fet,10.0,fet-1176,hold_3s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,9.966924772783027,9.93,True,9.498786316153211,9.094410704129032,9.214206488016355,1.1077646871026454,7.884253647460003,9.775430291111066,9.192382816364335,0.1183910295308559,6.283956792213943,9.583530382644135,9.98605011814959,3.5312765342965236e-06,3.2620186851417587,8.886942337476528,9.824839980306502
fet,15.0,fet-1176,hold_0.03s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,12.103659946028396,14.54,True,11.552892273297246,10.972023229274733,10.97340454790833,0.9367850752225468,8.852552898807843,11.725260681648628,10.792708444773623,0.09767593714359535,6.570410029651137,11.424401492017978,12.294677458195393,0.00011806939715519604,2.9813827555482506,10.38732909944186,11.834360018977785
fet,15.0,fet-1176,hold_0.3s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,13.474220025441426,14.54,True,13.027268610742661,12.605831469030674,12.72676259953485,1.372408750537092,10.439927989107533,13.214736381071722,12.697220133537687,0.14745429551739697,8.149241655219772,12.917400521631587,13.512768718735,-0.00020874942838133848,4.088227989935457,11.90599338384275,13.315267652126085
fet,15.0,fet-1176,hold_3s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,14.580668518883222,14.54,True,14.1047350424271,13.692147592977554,13.814293618062175,1.758728579253166,11.770867121121373,14.326467324019713,13.789822811019908,0.19310082648618732,9.471875044650425,14.066768524895895,14.588989851268895,-0.0003369515211808505,5.036846158363906,13.156315282289459,14.407990598487903
fet,3.0,fet-1176,hold_0.03s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,5.216326403178847,6.94,False,4.733136535051083,4.2109126607320055,4.264691391448196,0.35390818871170404,3.7491409529785407,5.090843208794899,4.145168498951271,0.03548022445211663,2.721097458803229,4.975835126533591,5.403997696832038,6.287745922639587e-05,1.1777178239884314,4.474308774791255,5.102712909843207
fet,3.0,fet-1176,hold_0.3s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,6.175988874592223,6.94,False,5.733736651598573,5.326547100228792,5.445535417425387,0.5483135693704597,4.666931481356432,6.064988625060167,5.422971041011966,0.05619140268260869,3.5721183413261333,5.92952218926006,6.235358130914504,-0.00018166498919436336,1.7130526467944391,5.399400083332817,6.086239989309047
fet,3.0,fet-1176,hold_3s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,6.974123308891996,6.94,False,6.509996654519286,6.1097273880831215,6.229413802976768,0.7333942163760812,5.469668988815753,6.846074163285535,6.210305751715552,0.07688956063950103,4.326516249344149,6.717534319546617,7.005722915875344,0.00012553020544703308,2.205267263273037,6.201026394841701,6.863698233639272
fet,6.0,fet-1176,hold_0.03s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,5.216326403178847,6.94,True,4.733136535051083,4.2109126607320055,4.264691391448196,0.35390818871170404,3.7491409529785407,5.090843208794899,4.145168498951271,0.03548022445211663,2.721097458803229,4.975835126533591,5.403997696832038,6.287745922639587e-05,1.1777178239884314,4.474308774791255,5.102712909843207
fet,6.0,fet-1176,hold_0.3s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,6.175988874592223,6.94,True,5.733736651598573,5.326547100228792,5.445535417425387,0.5483135693704597,4.666931481356432,6.064988625060167,5.422971041011966,0.05619140268260869,3.5721183413261333,5.92952218926006,6.235358130914504,-0.00018166498919436336,1.7130526467944391,5.399400083332817,6.086239989309047
fet,6.0,fet-1176,hold_3s,UAD,UREI 1176 Rev A bluestripe,1176a,comp,6.974123308891996,6.94,True,6.509996654519286,6.1097273880831215,6.229413802976768,0.7333942163760812,5.469668988815753,6.846074163285535,6.210305751715552,0.07688956063950103,4.326516249344149,6.717534319546617,7.005722915875344,0.00012553020544703308,2.205267263273037,6.201026394841701,6.863698233639272
fet,10.0,fet-1176,hold_0.03s,UAD,UREI 1176AE anniversary,1176ae,comp,8.745006392426259,10.37,True,8.241797318292079,7.7440508967929516,7.6769619792937105,0.5077391780866782,7.085365530268283,8.46695644841239,7.504293784950481,0.0210632025043358,5.498201853603519,8.355494877314324,8.877963806624994,0.00045516912729981485,2.369145463645954,7.914997526963249,8.49316939777217
fet,10.0,fet-1176,hold_0.3s,UAD,UREI 1176AE anniversary,1176ae,comp,10.11278528096336,10.37,True,9.622261918030848,9.2160017244625,9.229864705013057,0.5331226382024288,7.794396064000789,9.755106104605682,9.123530313049763,0.0212462343269042,5.917591025733666,9.575767363075862,10.075861430685919,-0.0005266207777196996,2.497516204983979,8.92386633216058,9.81442398068536
fet,10.0,fet-1176,hold_3s,UAD,UREI 1176AE anniversary,1176ae,comp,10.366926505424995,10.37,True,9.88890191008335,9.509925339723639,9.544785599804232,0.5394844643864074,7.934023030039139,10.006180375418213,9.462203358947132,0.02157950894709515,6.000243364408776,9.812772941231955,10.29552157786833,-0.0004529793139513849,2.526817960291166,9.120233792169289,10.072506570877563
fet,15.0,fet-1176,hold_0.03s,UAD,UREI 1176AE anniversary,1176ae,comp,13.075777009156553,14.99,True,12.89960236533624,12.719024932270319,12.625877595491694,0.8136994652230882,10.659714372901966,12.858416661364664,12.585110615040843,0.03503486780277454,8.403676588020296,12.624924236767686,13.138436660043826,0.001255520565676349,3.694834751783007,11.88347092874021,12.958533366987844
fet,15.0,fet-1176,hold_0.3s,UAD,UREI 1176AE anniversary,1176ae,comp,14.690433331711045,14.99,True,14.397797873053591,14.169469973399138,14.16129337246787,0.8368894774797515,11.516487970578812,14.328477711474978,14.1109575649348,0.034404395588789605,8.861650425491252,14.03971271621506,14.649813015005492,-0.00043479036525617687,3.8161085239561947,13.092569258798402,14.452544865810228
