slug,maker,models,group,element,gr_target_db,gr_measured_db,reached,threshold_dbfs,ratio,knee_width_db,attack_t63_ms,release_t63_ms,timing_reliable,programme_ratio,detector_reads,sc_50_minus_1k_db,h2_1k,h3_1k
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,9.93,True,-24.04,5.54,19.86,2.5208333333333335,453.0416666666667,True,1.77,peak,-0.058,-61.09176956394826,-66.61096585169504
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,14.54,True,-29.65,5.8,24.33,1.4791666666666667,473.5625,True,1.69,peak,-0.076,-59.34141399170994,-65.46296639299209
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,2.99,True,-15.04,5.42,13.19,21.145833333333332,438.5208333333333,True,2.19,peak,-0.012,-65.20534534539178,-73.12023184889254
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,6.94,True,-20.15,5.85,16.98,4.5,443.0625,True,1.87,peak,-0.037,-62.630120574378495,-68.4826286930289
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,10.37,True,-23.71,8.0,19.6,1.9166666666666667,369.125,True,1.07,peak,-0.065,-53.54750385726078,-51.51304767838339
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,15.0,14.99,True,-28.77,6.76,24.05,1.3541666666666667,376.1666666666667,True,1.04,peak,-0.094,-61.10390988393877,-55.77725040504079
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,3.0,3.48,True,-15.21,6.76,13.42,7.583333333333333,385.125,True,1.22,peak,-0.021,-47.591946341916376,-52.3895257515207
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,6.0,6.0,True,-18.27,6.91,15.79,3.5416666666666665,374.6041666666667,True,1.13,peak,-0.03,-47.277855016645454,-51.76687666881997
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,10.25,True,-24.33,5.54,20.43,2.0,483.0416666666667,True,3.28,peak,-0.067,-62.80948632846963,-65.73611116581048
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,15.0,True,-30.28,5.83,24.94,1.3958333333333333,537.5833333333334,True,3.16,peak,-0.08,-57.98514713522071,-65.02568082841292
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,3.0,2.79,True,-15.03,5.85,13.09,12.604166666666666,463.0416666666667,True,4.13,peak,-0.014,-65.2185275932145,-72.38261076141856
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,6.02,True,-18.95,5.87,16.36,4.020833333333333,465.0625,True,3.59,peak,-0.037,-65.57372240346997,-68.57126759301983
api2500,Waves,API 2500,vca-api,vca,10.0,9.99,True,-24.26,3.5,20.85,12.270833333333334,104.54166666666667,True,,rms,-0.066,-138.20572821076576,-92.81721607973175
api2500,Waves,API 2500,vca-api,vca,15.0,15.0,True,,3.53,26.51,10.6875,114.04166666666667,True,,rms,-0.099,-147.73765429682652,-92.11796546035004
api2500,Waves,API 2500,vca-api,vca,3.0,2.98,True,-14.95,3.56,13.06,19.9375,67.5625,True,,rms,0.071,-132.86244168103906,-96.20210230044827
api2500,Waves,API 2500,vca-api,vca,6.0,6.0,True,-18.72,3.5,16.29,14.479166666666666,89.04166666666667,True,,rms,-0.009,-134.93670394219242,-94.36356318585956
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,10.01,True,-27.29,2.55,23.03,5.395833333333333,57.0625,True,,peak,0.001,-98.65573121720223,-71.84809854476286
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,15.0,11.39,False,-29.69,2.55,24.79,5.0,61.041666666666664,True,,peak,-0.02,-98.00258825647548,-71.82989880604833
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,3.0,3.16,True,-15.55,2.51,13.88,10.041666666666666,38.5,True,,rms,0.131,-101.51740520084714,-72.18668810471311
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,6.0,6.01,True,-20.7,2.53,17.74,7.104166666666667,45.520833333333336,True,,peak,0.073,-100.40144971991984,-71.96643407606568
aw_blockparty,Airwindows,blocky compressor,aw-comp,digital,10.0,11.19,True,,,17.43,0.0625,0.0,True,1.05,peak,0.232,-183.56649207500098,-10.898782596660908
aw_blockparty,Airwindows,blocky compressor,aw-comp,digital,15.0,11.19,False,,,17.43,0.0625,0.0,True,1.05,peak,0.232,-179.6051429183082,-10.898782598242079
aw_blockparty,Airwindows,blocky compressor,aw-comp,digital,3.0,1.13,False,-11.07,,8.89,3.9583333333333335,0.4583333333333333,False,1.11,peak,-0.007,-191.79230756689708,-25.333317221176248
aw_blockparty,Airwindows,blocky compressor,aw-comp,digital,6.0,5.12,True,,,12.66,0.08333333333333333,0.5625,True,1.07,peak,-0.065,-190.43147085688332,-13.882294640776125
aw_buttercomp2,Airwindows,bidirectional compressor,aw-comp,digital,10.0,2.87,False,-21.97,,14.86,1316.375,474.5416666666667,False,45.47,rms,-0.012,-68.79213597579027,-140.87228555242265
aw_buttercomp2,Airwindows,bidirectional compressor,aw-comp,digital,15.0,2.87,False,-21.97,,14.86,1316.875,474.0,False,45.47,rms,-0.012,-68.79210526196844,-140.90048017094182
aw_buttercomp2,Airwindows,bidirectional compressor,aw-comp,digital,3.0,2.87,True,-21.97,,14.86,1316.875,474.0,False,45.47,rms,-0.012,-68.79211289251298,-140.8870592978437
aw_buttercomp2,Airwindows,bidirectional compressor,aw-comp,digital,6.0,2.87,False,-21.97,,14.86,1316.875,472.0416666666667,False,45.47,rms,-0.012,-68.79211948932834,-140.878468307192
aw_compresaturator,Airwindows,compression by saturation,aw-comp,digital,10.0,5.5,False,-19.05,5.89,19.5,23.583333333333332,40.104166666666664,True,0.32,rms,0.465,-124.49242299902464,-38.254170204379285
aw_compresaturator,Airwindows,compression by saturation,aw-comp,digital,15.0,5.5,False,-19.05,5.46,19.51,23.583333333333332,40.104166666666664,True,0.32,rms,0.465,-124.5668026545164,-38.25222054046748
aw_compresaturator,Airwindows,compression by saturation,aw-comp,digital,3.0,3.67,True,-13.81,3.19,18.34,25.083333333333332,39.0625,True,0.31,rms,0.288,-124.46515889925566,-42.09865280380959
aw_compresaturator,Airwindows,compression by saturation,aw-comp,digital,6.0,5.5,True,-19.05,5.77,19.51,23.583333333333332,40.104166666666664,True,0.32,rms,0.465,-124.04557587676456,-38.251478315011184
aw_logical4,Airwindows,mastering compressor,aw-comp,digital,10.0,8.03,False,-22.64,,15.51,57.083333333333336,54.0625,True,,rms,-0.41,-169.0635928397641,-50.62885432789395
aw_logical4,Airwindows,mastering compressor,aw-comp,digital,15.0,14.82,True,-26.62,,17.5,69.10416666666667,46.083333333333336,True,,rms,-1.589,-166.32593452272891,-51.288315513474686
aw_logical4,Airwindows,mastering compressor,aw-comp,digital,3.0,3.92,True,-18.68,,13.81,52.083333333333336,59.583333333333336,True,,rms,0.311,-172.08170128381977,-50.52564820375136
aw_logical4,Airwindows,mastering compressor,aw-comp,digital,6.0,8.03,False,-22.64,,15.51,57.083333333333336,54.0625,True,,rms,-0.41,-169.15562012415504,-50.628857381691255
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,9.17,True,,1.17,,2.2916666666666665,,False,1.06,peak,-0.538,-191.02269019041046,-49.62368718189352
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,15.0,12.17,False,,1.0,,0.020833333333333332,,True,1.17,peak,-0.329,-184.80575581688038,-51.624966255597336
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,3.0,4.52,False,,6.02,,0.041666666666666664,0.7083333333333334,False,0.95,peak,-0.349,-192.17904727791452,-63.91215347761927
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,6.8,True,-9.82,1.0,,0.020833333333333332,,True,0.92,peak,0.077,-175.33687784539094,-52.89640522200682
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,11.12,True,-23.83,20.0,19.73,0.020833333333333332,934.9166666666666,True,1.08,peak,0.294,-193.08034028637465,-27.50089308914648
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,15.0,18.85,False,,8.31,,0.020833333333333332,0.22916666666666666,False,1.15,peak,-0.731,-185.8958339285957,-50.16038672022222
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,3.0,2.99,True,-14.48,10.87,12.21,0.1875,4.229166666666667,True,,peak,-0.031,-195.08927602940784,-14.66321379267162
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,6.0,7.43,True,,14.15,15.51,0.020833333333333332,980.4166666666666,True,1.06,peak,-0.089,-194.2206074242783,-15.290737856829889
aw_purestsquish,Airwindows,minimal compressor,aw-comp,digital,10.0,11.1,True,,0.87,,1.4375,538.8958333333334,True,1.06,peak,-10.49,-166.96652024063093,-38.61814713038746
aw_purestsquish,Airwindows,minimal compressor,aw-comp,digital,15.0,17.35,False,,2.95,22.87,1.375,294.4166666666667,True,1.03,peak,-14.56,-186.35569772294218,-32.769569740954054
aw_purestsquish,Airwindows,minimal compressor,aw-comp,digital,3.0,4.48,True,,0.65,,0.9583333333333334,798.1041666666666,False,1.09,peak,-3.277,-176.78459639035293,-51.060070148228036
aw_purestsquish,Airwindows,minimal compressor,aw-comp,digital,6.0,4.48,False,,0.65,,0.9583333333333334,798.1041666666666,False,1.09,peak,-3.277,-176.02775458830712,-51.06007032805106
bx_opto,Brainworx,opto pedal,opto-other,opto,10.0,10.15,True,-25.46,3.31,21.43,1.4166666666666667,422.5625,True,1.01,peak,-0.001,-200.0,-67.62064610704853
bx_opto,Brainworx,opto pedal,opto-other,opto,15.0,15.29,True,-31.3,2.84,26.56,0.4583333333333333,266.5625,True,1.0,peak,-0.005,-200.0,-59.6770178326816
bx_opto,Brainworx,opto pedal,opto-other,opto,3.0,2.85,True,-15.19,3.68,13.6,53.875,1539.0416666666667,True,1.68,peak,0.0,-141.0834047984199,-89.85297132017104
bx_opto,Brainworx,opto pedal,opto-other,opto,6.0,5.9,True,-19.56,3.62,16.76,6.854166666666667,748.0625,True,1.07,peak,-0.001,-200.0,-77.22944872772445
c1_comp,Waves,clean digital,digital,digital,10.0,9.99,True,-28.32,5.19,22.51,6.958333333333333,135.52083333333334,True,1.02,peak,1.801,-200.0,-85.3275729006978
c1_comp,Waves,clean digital,digital,digital,15.0,15.01,True,-34.31,3.17,26.46,7.875,111.52083333333333,True,1.01,peak,1.667,-200.0,-84.82524375696143
c1_comp,Waves,clean digital,digital,digital,3.0,2.99,True,-17.64,5.26,15.84,6.1875,177.0625,True,1.03,peak,1.309,-200.0,-90.54037803838983
c1_comp,Waves,clean digital,digital,digital,6.0,5.98,True,-22.88,6.74,19.15,6.416666666666667,158.0625,True,1.02,peak,1.679,-200.0,-87.13731784068295
cla3a,Waves,UREI LA-3A,opto-la2a,opto,10.0,10.02,True,-24.54,3.79,20.26,7.979166666666667,165.0,True,3.14,peak,-0.525,-115.37913459817733,-65.90734528200288
cla3a,Waves,UREI LA-3A,opto-la2a,opto,15.0,15.01,True,-30.56,4.09,25.56,8.125,124.45833333333333,True,2.17,peak,-0.972,-127.61143681404484,-60.174439899371635
cla3a,Waves,UREI LA-3A,opto-la2a,opto,3.0,3.05,True,-15.47,3.6,13.5,39.166666666666664,212.04166666666666,True,5.99,peak,-0.133,-123.88593338044882,-79.28313716074926
cla3a,Waves,UREI LA-3A,opto-la2a,opto,6.0,5.85,True,-19.15,3.94,16.29,17.645833333333332,202.04166666666666,True,4.34,peak,-0.253,-117.05811970041663,-72.50534036468808
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,10.0,9.74,True,-22.98,4.0,19.36,13.979166666666666,65.5,True,,rms,-0.44,-200.0,-67.27154197127945
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,15.0,15.0,True,,3.72,24.85,6.916666666666667,100.04166666666667,True,,rms,-0.436,-200.0,-67.36211938631902
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,3.0,2.99,True,-14.33,4.21,12.44,43.604166666666664,22.4375,True,,rms,-0.444,-200.0,-67.21348130751255
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,6.0,6.0,True,,4.13,15.99,24.604166666666668,41.458333333333336,True,,rms,-0.442,-200.0,-67.23381177344194
