slug,maker,models,group,element,gr_target_db,marking,attack_t63_ms,attack_t90_ms,release_t63_ms,release_t90_ms,gr_at_end_of_hold_db,timing_reliable,rejected_runs
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=1.00,6.5,286.5833333333333,452.5625,1058.0625,9.87514370258014,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=2.00,4.5625,278.0833333333333,454.0208333333333,1060.0625,10.139351304149745,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=3.00,3.4791666666666665,276.5833333333333,453.5416666666667,1059.5416666666667,10.088635548553928,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=4.00,2.5208333333333335,278.5833333333333,453.0416666666667,1058.5416666666667,9.965994110468788,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=5.00,1.9166666666666667,285.0833333333333,452.0625,1057.0416666666667,9.747114119792466,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=6.00,1.375,307.0833333333333,450.0625,1053.5416666666667,9.227240800481926,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,attack=7.00,0.875,336.0833333333333,449.5625,1051.5416666666667,8.912533641263103,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,release=1.0,2.9583333333333335,273.5833333333333,1231.5833333333333,2653.5625,9.791334827483997,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,release=2.0,2.9583333333333335,274.6041666666667,1167.5625,2515.5416666666665,9.752077101946702,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,release=3.0,2.9375,276.5833333333333,943.5625,2044.5833333333333,9.756032506931515,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,release=4.0,2.9166666666666665,277.5833333333333,706.0416666666666,1556.0416666666667,9.845876000369115,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,release=5.0,2.5208333333333335,278.5833333333333,453.0416666666667,1058.5416666666667,9.965994110468788,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,release=6.0,2.3958333333333335,295.5833333333333,159.02083333333334,544.5416666666666,9.774096268262973,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,release=7.0,2.0,291.0833333333333,123.5625,495.0208333333333,9.91276494605489,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,10.0,as_set,2.5208333333333335,278.5833333333333,453.0416666666667,1058.5416666666667,9.965994110468788,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,15.0,as_set,1.4791666666666667,211.58333333333334,473.5625,1094.0625,14.578101458720223,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,3.0,as_set,21.145833333333332,499.0833333333333,438.5208333333333,1015.0208333333334,3.014798168517384,True,0
1176a,UAD,UREI 1176 Rev A bluestripe,fet-1176,fet,6.0,as_set,4.5,342.5833333333333,443.0625,1037.5416666666667,6.973620627346794,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,attack=1.00,4.583333333333333,90.60416666666667,369.125,800.6041666666666,10.287981045437423,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,attack=2.00,3.5,89.60416666666667,369.125,800.6041666666666,10.300498464563539,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,attack=3.00,2.5,89.125,369.125,800.625,10.329593059994732,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,attack=4.00,1.9166666666666667,90.625,369.125,801.0833333333334,10.366936740728855,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,attack=5.00,1.3958333333333333,94.125,369.125,801.1041666666666,10.397106447435908,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,attack=6.00,0.875,100.60416666666667,369.125,801.125,10.470574680933785,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,attack=7.00,0.375,128.58333333333334,369.125,801.125,10.46982935189006,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,release=1.0,1.9375,70.125,1049.125,2290.1458333333335,10.756333847639288,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,release=2.0,1.9166666666666667,70.125,991.125,2161.625,10.781737865241716,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,release=3.0,1.9166666666666667,72.125,790.0833333333334,1719.125,10.708231638062218,True,0
1176ae,UAD,UREI 1176AE anniversary,fet-1176,fet,10.0,release=4.0,1.9166666666666667,78.625,582.5625,1261.6458333333333,10.558628016582183,True,0
