slug,maker,models,group,band,target_hz,actual_hz,marking,gain_label,peak_db,peak_hz,q,bandwidth_oct
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+12,11.517,9283.2,,
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,4.159,8433.9,,
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,6.096,8433.9,,
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+9,8.832,9283.2,,
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,-12,-12.314,10217.9,,
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,-4,-4.326,10217.9,,
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,-6,-6.407,10217.9,,
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,-9,-9.314,9283.2,,
api550a,Waves,API 550A,eq-api,high_shelf,10000.0,10000.0,dB,+12,12.095,18170.4,,
api550a,Waves,API 550A,eq-api,high_shelf,10000.0,10000.0,dB,+4,3.673,14997.9,,
api550a,Waves,API 550A,eq-api,high_shelf,10000.0,10000.0,dB,+6,5.914,16508.1,,
api550a,Waves,API 550A,eq-api,high_shelf,10000.0,10000.0,dB,+9,8.91,16508.1,,
api550a,Waves,API 550A,eq-api,high_shelf,10000.0,10000.0,dB,-12,-12.688,20000.0,,
api550a,Waves,API 550A,eq-api,high_shelf,10000.0,10000.0,dB,-4,-4.067,20000.0,,
api550a,Waves,API 550A,eq-api,high_shelf,10000.0,10000.0,dB,-6,-6.287,20000.0,,
api550a,Waves,API 550A,eq-api,high_shelf,10000.0,10000.0,dB,-9,-9.346,20000.0,,
api550a,Waves,API 550A,eq-api,himid_bell,3300.0,3000.0,dB,+12,11.701,3231.2,0.606,2.239
api550a,Waves,API 550A,eq-api,himid_bell,3300.0,3000.0,dB,+4,4.058,3231.2,0.443,2.919
api550a,Waves,API 550A,eq-api,himid_bell,3300.0,3000.0,dB,+6,6.057,2935.6,0.471,2.598
api550a,Waves,API 550A,eq-api,himid_bell,3300.0,3000.0,dB,+9,8.833,2935.6,0.526,2.357
