slug,maker,models,group,band,gain_label,hz,level_dbfs,thd_pct,h2,h3,h4,h5,h6,h7,h8
api550a,Waves,API 550A,eq-api,flat,flat,100.0,-12.0,0.006939223412341114,-83.32985522923492,-97.696750251676,-161.55465756307058,-150.6631430369549,-145.40384532621982,-140.6400836512952,-139.73536143004588
api550a,Waves,API 550A,eq-api,flat,flat,100.0,-18.0,0.0034515709945604003,-89.28224681772265,-109.37361847233552,-136.7242448461519,-135.61534262302627,-152.20204591603002,-142.58056500050031,-137.50677631933138
api550a,Waves,API 550A,eq-api,flat,flat,100.0,-6.0,0.014308422206526537,-77.41569347381544,-86.30591592778116,-126.1282193988645,-123.62021113211661,-143.12580235572813,-150.87565764979414,-148.2163486163359
api550a,Waves,API 550A,eq-api,flat,flat,1000.0,-12.0,0.006790455518642886,-83.36405187163996,-116.73456225357742,-139.21387801429125,-143.47906206738722,-154.28896362231282,-139.1214718484756,-143.23207761616794
api550a,Waves,API 550A,eq-api,flat,flat,1000.0,-18.0,0.003404089703127639,-89.36122395393812,-128.68847626829927,-131.65157227726988,-140.0244542430856,-131.2485110611363,-135.52498090298454,-138.17026019453706
api550a,Waves,API 550A,eq-api,flat,flat,1000.0,-6.0,0.013433321277915264,-77.4440238127797,-104.98577872665818,-127.0105880424402,-145.51821012723985,-145.2227749096815,-153.13045042957575,-154.63456151311064
api550a,Waves,API 550A,eq-api,flat,flat,10000.0,-12.0,0.006800781567945799,-83.34882347781318,,,,,,
api550a,Waves,API 550A,eq-api,flat,flat,10000.0,-18.0,0.003402420857773922,-89.36423935882944,,,,,,
api550a,Waves,API 550A,eq-api,flat,flat,10000.0,-6.0,0.013405854317008133,-77.45411008891486,,,,,,
api550a,Waves,API 550A,eq-api,flat,flat,125.0,-12.0,0.006899180498079482,-83.33610296059388,-99.16535157820275,-137.63204203322604,-140.4630404032439,-145.05116193285275,-139.89471771990543,-139.833212598355
api550a,Waves,API 550A,eq-api,flat,flat,125.0,-18.0,0.0034334420637554546,-89.31335593683102,-111.25206988787713,-143.17427561448443,-138.82530108752758,-135.16358389111733,-138.20357908046208,-144.373995180609
api550a,Waves,API 550A,eq-api,flat,flat,125.0,-6.0,0.014055066977587351,-77.42471486095394,-87.79814952130013,-126.61225566640148,-126.38242533704113,-153.93889322382378,-155.83038536068761,-151.4014561943922
api550a,Waves,API 550A,eq-api,flat,flat,1250.0,-12.0,0.0067998776125735095,-83.35125375401618,-118.8222822002917,-148.0642145422528,-139.41145106302946,-141.83006357037573,-138.8983790286129,-138.5349422256171
api550a,Waves,API 550A,eq-api,flat,flat,1250.0,-18.0,0.003403812979215701,-89.36202420030867,-126.84542792521182,-130.3700875875845,-145.76232351418744,-136.69747432896744,-140.44668075006157,-135.9796734762636
api550a,Waves,API 550A,eq-api,flat,flat,1250.0,-6.0,0.013423690672721405,-77.44743209219726,-106.99329283293716,-126.91612321287866,-145.5050542164094,-149.0842251727859,-143.95466587145833,-144.59825642016867
api550a,Waves,API 550A,eq-api,flat,flat,160.0,-12.0,0.006869667729971672,-83.33561575977542,-100.96698451030134,-135.38414188459328,-156.92670715038773,-150.43322390281202,-138.8352571486707,-148.9779817366939
api550a,Waves,API 550A,eq-api,flat,flat,160.0,-18.0,0.0034231907446513575,-89.33272274845652,-112.47209101906819,-135.41645702742736,-144.70657140615225,-136.74370485003593,-144.88914560062003,-135.38131264685046
api550a,Waves,API 550A,eq-api,flat,flat,160.0,-6.0,0.013844845709812295,-77.43302707641493,-89.55300955015424,-126.12618765797467,-127.78555450091724,-149.73456459740748,-141.75294516697844,-149.5475113139552
