slug,maker,models,family,group,state,condition,hz,level_dbfs
api2500,Waves,API 2500,comp,vca-api,off,silence,100.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,1000.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,10000.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,125.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,1250.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,12500.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,160.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,1600.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,16000.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,20.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,200.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,2000.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,20000.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,25.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,250.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,2500.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,31.5,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,315.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,3150.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,40.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,400.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,4000.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,50.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,500.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,5000.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,63.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,630.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,6300.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,80.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,800.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,silence,8000.0,-200.0
api2500,Waves,API 2500,comp,vca-api,off,under_tone_-12,100.0,-200.0
