slug,maker,models,family,group,state,condition,rms_dbfs,peak_dbfs,a_weighted_dbfs,noise_added_db,controls,loudest_tone_hz,loudest_tone_dbfs
api2500,Waves,API 2500,comp,vca-api,off,silence,-200.0,-200.0,-200.0,91.14,analog=On ,,
api2500,Waves,API 2500,comp,vca-api,off,under_tone_-12,-124.15,-97.72,-143.41,23.82,analog=On ,1007.6,-161.69
api2500,Waves,API 2500,comp,vca-api,on,silence,-108.86,-101.09,-109.22,91.14,analog=On ,,
api2500,Waves,API 2500,comp,vca-api,on,under_tone_-12,-100.33,-91.1,-109.29,23.82,analog=On ,,
api550a,Waves,API 550A,eq,eq-api,off,silence,-200.0,-200.0,-200.0,88.02,analog=On ,,
api550a,Waves,API 550A,eq,eq-api,off,under_tone_-12,-178.96,-174.1,-187.06,83.71,analog=On ,20998.4,-200.0
api550a,Waves,API 550A,eq,eq-api,on,silence,-111.98,-102.14,-112.3,88.02,analog=On ,,
api550a,Waves,API 550A,eq,eq-api,on,under_tone_-12,-95.25,-92.09,-112.35,83.71,analog=On ,,
api550b,Waves,API 550B,eq,eq-api,off,silence,-200.0,-200.0,-200.0,88.33,analog=On ,,
api550b,Waves,API 550B,eq,eq-api,off,under_tone_-12,-178.72,-172.76,-186.87,83.42,analog=On ,20998.4,-200.0
api550b,Waves,API 550B,eq,eq-api,on,silence,-111.67,-102.54,-112.19,88.33,analog=On ,,
api550b,Waves,API 550B,eq,eq-api,on,under_tone_-12,-95.3,-92.16,-112.28,83.42,analog=On ,,
aw_ironoxide5,Airwindows,tape,tape,aw-tape,off,silence,-155.03,-143.47,-154.01,0.03,noise=0.001,,
aw_ironoxide5,Airwindows,tape,tape,aw-tape,off,under_tone_-12,-39.85,-28.76,-37.56,-1.08,noise=0.001,973.6,-54.93
aw_ironoxide5,Airwindows,tape,tape,aw-tape,on,silence,-155.0,-143.27,-154.0,0.03,noise=0.001,,
aw_ironoxide5,Airwindows,tape,tape,aw-tape,on,under_tone_-12,-40.93,-29.21,-38.85,-1.08,noise=0.001,988.8,-53.29
cla3a,Waves,UREI LA-3A,comp,opto-la2a,off,silence,-193.42,-185.09,-194.21,105.74,analog=50Hz ,,
cla3a,Waves,UREI LA-3A,comp,opto-la2a,off,under_tone_-12,-101.86,-75.49,-121.13,14.33,analog=50Hz ,22999.7,-180.77
cla3a,Waves,UREI LA-3A,comp,opto-la2a,on,silence,-87.68,-76.21,-89.45,105.74,analog=50Hz ,49.8,-100.97
cla3a,Waves,UREI LA-3A,comp,opto-la2a,on,under_tone_-12,-87.53,-71.77,-89.54,14.33,analog=50Hz ,49.8,-101.5
h_comp,Waves,"hybrid, analogue-modelled",comp,digital,off,silence,-200.0,-200.0,-200.0,97.97,analog=Mod1 ,,
h_comp,Waves,"hybrid, analogue-modelled",comp,digital,off,under_tone_-12,-160.71,-113.82,-183.4,83.42,analog=Mod1 ,989.1,-200.0
h_comp,Waves,"hybrid, analogue-modelled",comp,digital,on,silence,-102.03,-89.64,-107.36,97.97,analog=Mod1 ,57.5,-122.21
h_comp,Waves,"hybrid, analogue-modelled",comp,digital,on,under_tone_-12,-77.29,-75.5,-107.38,83.42,analog=Mod1 ,25.6,-124.02
little_radiator,Soundtoys,Altec 1566A tube stage,colour,preamp-tube,off,silence,-122.61,-104.24,-200.0,46.84,noise=True,20.1,-200.0
little_radiator,Soundtoys,Altec 1566A tube stage,colour,preamp-tube,off,under_tone_-12,-70.82,-52.12,-123.43,1.01,noise=True,20999.6,-147.52
little_radiator,Soundtoys,Altec 1566A tube stage,colour,preamp-tube,on,silence,-75.77,-66.41,-75.84,46.84,noise=True,,
little_radiator,Soundtoys,Altec 1566A tube stage,colour,preamp-tube,on,under_tone_-12,-69.81,-51.41,-76.84,1.01,noise=True,,
nls_mike,Waves,SSL 4000 G+ console channel,colour,console-ssl,off,silence,-200.0,-200.0,-200.0,0.0,noise=On ,,
nls_mike,Waves,SSL 4000 G+ console channel,colour,console-ssl,off,under_tone_-12,-77.39,-64.61,-125.4,0.0,noise=On ,23000.1,-118.53
