slug,maker,models,family,group,plugin,measured_in,note
1176a,UAD,UREI 1176 Rev A bluestripe,comp,fet-1176,uaudio_ua_1176_rev_a.vst3,comp,
1176ae,UAD,UREI 1176AE anniversary,comp,fet-1176,uaudio_ua_1176ae.vst3,comp,
1176ln,UAD,UREI 1176LN Rev E,comp,fet-1176,uaudio_ua_1176ln_rev_e.vst3,comp,
api2500,Waves,API 2500,comp,vca-api,API-2500 Stereo,,
api550a,Waves,API 550A,eq,eq-api,API-550A Stereo,eq,"stepped: three bands, seven frequencies each"
api550b,Waves,API 550B,eq,eq-api,API-550B Stereo,,stepped: four bands
api_vision,UAD,API 1608 console channel,colour,console-api,uaudio_api_vision_channel_strip.vst3,colour,preamp section; its EQ and compressor are measured separately
api_vision_comp,UAD,API 527 channel compressor,comp,vca-api,uaudio_api_vision_channel_strip.vst3,,
api_vision_eq,UAD,API 550L EQ section,eq,eq-api,uaudio_api_vision_channel_strip.vst3,,
aw_air3,Airwindows,top-end lift,eq,eq-tilt,Air3,,
aw_baxandall2,Airwindows,Baxandall tone control,eq,eq-tilt,Baxandall2,,
aw_blockparty,Airwindows,blocky compressor,comp,aw-comp,BlockParty,,
aw_buttercomp2,Airwindows,bidirectional compressor,comp,aw-comp,ButterComp2,,
aw_calibre,Airwindows,Calrec-ish console,colour,aw-console,Calibre,,
aw_capacitor2,Airwindows,capacitor-modelled filter,eq,eq-tilt,Capacitor2,,
aw_chromeoxide,Airwindows,cassette tape,tape,aw-tape,ChromeOxide,,
aw_cojones,Airwindows,midrange grit,colour,aw-drive,Cojones,,
aw_compresaturator,Airwindows,compression by saturation,comp,aw-comp,Compresaturator,,
aw_console7channel,Airwindows,Console7 channel encode,colour,aw-console,Console7Channel,,
aw_console9channel,Airwindows,Console9 channel,colour,aw-console,Console9Channel,,
aw_consolelachannel,Airwindows,ConsoleLA channel,colour,aw-console,ConsoleLAChannel,,
aw_consolemcchannel,Airwindows,ConsoleMC channel,colour,aw-console,ConsoleMCChannel,,
aw_consolemdchannel,Airwindows,ConsoleMD channel,colour,aw-console,ConsoleMDChannel,,
aw_density2,Airwindows,density saturation,colour,aw-drive,Density2,,
aw_desk4,Airwindows,desk colour,colour,aw-drive,Desk4,,
aw_drive,Airwindows,distortion,colour,aw-drive,Drive,,
aw_dubly2,Airwindows,companding noise reduction,tape,aw-tape,Dubly2,,
aw_focus,Airwindows,focused saturation,colour,aw-drive,Focus,,
aw_fromtape,Airwindows,tape playback,tape,aw-tape,FromTape,,
aw_hype,Airwindows,hyped saturation,colour,aw-drive,Hype,,
aw_ironoxide5,Airwindows,tape,tape,aw-tape,IronOxide5,,
aw_ironoxideclassic2,Airwindows,"tape, the older algorithm",tape,aw-tape,IronOxideClassic2,,
aw_logical4,Airwindows,mastering compressor,comp,aw-comp,Logical4,,
aw_loud,Airwindows,loudness saturation,colour,aw-drive,Loud,,
aw_mackity,Airwindows,Mackie 1202 preamp,colour,aw-drive,Mackity,,
aw_pop2,Airwindows,transient-preserving comp,comp,aw-comp,Pop2,,
aw_pressure5,Airwindows,peak compressor,comp,aw-comp,Pressure5,,
aw_purestdrive,Airwindows,minimal tube-ish drive,colour,aw-drive,PurestDrive,,
aw_purestsquish,Airwindows,minimal compressor,comp,aw-comp,PurestSquish,,
aw_tape,Airwindows,"tape, the simple one",tape,aw-tape,Tape,,
aw_totape7,Airwindows,"tape, the flagship algorithm",tape,aw-tape,ToTape7,,
bx_console_n,Brainworx,Neve VXS console channel,colour,console-neve,bx_console N.vst3,colour,THD control is calibrated in dB and lives inside the EQ section
bx_opto,Brainworx,opto pedal,comp,opto-other,bx_opto.vst3,,
c1_comp,Waves,clean digital,comp,digital,C1 comp Stereo,,
century,UAD,Universal Audio Century tube strip,colour,preamp-tube,uaudio_century_channel_strip.vst3,,
cla3a,Waves,UREI LA-3A,comp,opto-la2a,CLA-3A Stereo,,
dbx160,UAD,dbx 160 VU,comp,vca-dbx160,uaudio_dbx_160.vst3,comp,
decap_a,Soundtoys,Ampex 350 tape preamp (style A),colour,style-decapitator,Decapitator.vst3,,
decap_e,Soundtoys,Chandler/EMI TG12413 (style E),colour,style-decapitator,Decapitator.vst3,,
decap_n,Soundtoys,Neve 1057 (style N),colour,style-decapitator,Decapitator.vst3,,
decap_p,Soundtoys,Thermionic Culture Vulture pentode (style P),colour,style-decapitator,Decapitator.vst3,,
decap_t,Soundtoys,Thermionic Culture Vulture triode (style T),colour,style-decapitator,Decapitator.vst3,,
devil_loc,Soundtoys,Shure Level-Loc,colour,crush,Devil-Loc.vst3,,
distressor,UAD,Empirical Labs Distressor,comp,fet-other,uaudio_distressor.vst3,,
driver,Native Instruments,analogue drive and filter,colour,crush,Driver.vst3,,
elysia_niveau,elysia,passive tilt filter,eq,eq-tilt,elysia niveau filter.vst3,,
fairchild660,UAD,Fairchild 660 mono,comp,varimu-fairchild,uaudio_fairchild_660.vst3,,
fairchild670,UAD,Fairchild 670 stereo,comp,varimu-fairchild,uaudio_fairchild_670.vst3,,
frontdaw_american,Sonimus,American console style,colour,style-frontdaw,FrontDAW.vst3,,
frontdaw_british,Sonimus,British console style,colour,style-frontdaw,FrontDAW.vst3,colour,
frontdaw_clip,Sonimus,clipper style,colour,style-frontdaw,FrontDAW.vst3,,
frontdaw_german,Sonimus,German console style,colour,style-frontdaw,FrontDAW.vst3,,
frontdaw_magnetic,Sonimus,tape style,colour,style-frontdaw,FrontDAW.vst3,,
h_comp,Waves,"hybrid, analogue-modelled",comp,digital,H-Comp Stereo,,
kh_3band,Kilohearts,clean three-band,eq,eq-digital,kHs 3-Band EQ.vst3,,
kh_comp,Kilohearts,clean digital,comp,digital,kHs Compressor.vst3,,
kotelnikov,Tokyo Dawn,"clean digital, states its times",comp,digital,TDR Kotelnikov.vst3,,
la2a,UAD,Teletronix LA-2A,comp,opto-la2a,uaudio_teletronix_la-2a_tc.vst3,,
little_radiator,Soundtoys,Altec 1566A tube stage,colour,preamp-tube,LittleRadiator.vst3,,
massive_passive,UAD,Manley Massive Passive,eq,eq-massive-passive,uaudio_manley_massive_passive.vst3,,
massive_passive_m,UAD,Manley Massive Passive MST,eq,eq-massive-passive,uaudio_manley_massive_passive_m.vst3,,
molotok,Tokyo Dawn,digital with a modelled character,comp,digital,TDR Molotok.vst3,,
nls_mike,Waves,SSL 4000 G+ console channel,colour,console-ssl,NLS Channel Stereo,colour,
nls_nevo,Waves,Neve 5116 console channel,colour,console-neve,NLS Channel Stereo,colour,
nls_spike,Waves,EMI TG12345 console channel,colour,console-emi,NLS Channel Stereo,colour,
nlsbuss_mike,Waves,SSL 4000 G+ console buss,colour,console-ssl,NLS Buss Stereo,colour,
nlsbuss_nevo,Waves,Neve 5116 console buss,colour,console-neve,NLS Buss Stereo,colour,the summing side of the same three consoles
nlsbuss_spike,Waves,EMI TG12345 console buss,colour,console-emi,NLS Buss Stereo,colour,
passive_eq,Softube,Manley Massive Passive,eq,eq-massive-passive,Passive EQ.vst3,,
puigtec_eqp1a,Waves,Pultec EQP-1A,eq,eq-pultec,PuigTec EQP1A Stereo,eq,
puigtec_meq5,Waves,Pultec MEQ-5 midrange,eq,eq-pultec,PuigTec MEQ5 Stereo,eq,
q10,Waves,clean parametric,eq,eq-digital,Q10 Stereo,,
rcomp,Waves,"Renaissance, opto and electro modes",comp,digital,RCompressor Stereo,,
scheps73,Waves,Neve 1073 mic preamp,colour,preamp-neve,Scheps 73 Stereo,,"preamp drive is a switch, not a continuum"
sieq,Soundtoys,API 550-style,eq,eq-api,SieQ.vst3,,
slickeq,Tokyo Dawn,switchable saturation at a fixed curve,eq,eq-digital,TDR VOS SlickEQ.vst3,,
solid_bus_comp,Softube,SSL G series bus compressor,comp,vca-sslbus,Solid Bus Comp.vst3,,
solid_dynamics,Softube,SSL 4000 channel dynamics,comp,vca-sslchannel,Solid Dynamics.vst3,,
ssl_ev2,Waves,SSL 4000 E console channel,colour,console-ssl,SSL EV2 Channel Stereo,colour,
ssl_gbus,UAD,SSL G series bus compressor,comp,vca-sslbus,uaudio_ssl_g_bus_compressor.vst3,,
ssl_native,SSL,SSL 9000/4000 channel strip,colour,console-ssl,SSL Native Channel Strip 2.vst3,colour,"modern SSL, the clean reference"
ssl_native_bus,SSL,SSL G series bus compressor,comp,vca-sslbus,SSL Native Bus Compressor 2.vst3,,
ssl_native_eq,SSL,"SSL 9000 channel EQ, E and G curves",eq,eq-ssl,SSL Native Channel Strip 2.vst3,,
studer_a800,UAD,Studer A800 multitrack,tape,tape-machine,uaudio_studer_a800.vst3,,
supercharger_gt,Native Instruments,tube compressor,comp,opto-other,Supercharger GT.vst3,,
tdr_nova,Tokyo Dawn,clean parallel dynamic EQ,eq,eq-digital,TDR Nova.vst3,,
ua610a,UAD,UA 610-A tube preamp,colour,preamp-tube,uaudio_610_a.vst3,,
ua610b,UAD,UA 610-B tube preamp,colour,preamp-tube,uaudio_610_b.vst3,,
vari_comp,Softube,Manley Variable Mu,comp,varimu-other,Vari Comp.vst3,,
vc160,Softube,dbx 160 VU,comp,vca-dbx160,VC 160.vst3,,
vc2a,Softube,Teletronix LA-2A,comp,opto-la2a,VC 2A.vst3,,
vc76,Softube,UREI 1176,comp,fet-1176,VC 76.vst3,comp,
vcomp,Waves,Neve 2254 diode bridge,comp,diode-neve,VComp Stereo,,
veq3,Waves,Neve 1073 EQ,eq,eq-neve,VEQ3 Stereo,,
veq4,Waves,Neve 1081 EQ,eq,eq-neve,VEQ4 Stereo,,
verve,UAD,Verve analogue machines,tape,tape-machine,uaudio_verve.vst3,,
